"Freq [GHz]","re(St(FloquetPort1:1,FloquetPort1:1)) []","im(St(FloquetPort1:1,FloquetPort1:1)) []","re(St(FloquetPort2:1,FloquetPort1:1)) []","im(St(FloquetPort2:1,FloquetPort1:1)) []"
3.495,-0.122737129854308,-0.204026960097482,-0.878233173340264,-0.37188410365133
3.5025,-0.125491482172044,-0.200266769494116,-0.881948319095141,-0.364025981224887
3.51,-0.128182761478596,-0.196478540139783,-0.885583296652691,-0.356133079279119
3.5175,-0.130810777163237,-0.192663216446942,-0.889137834889,-0.348206332590999
3.525,-0.133375352420241,-0.188821741964284,-0.892611674851297,-0.3402466766224
3.5325,-0.135876324169843,-0.184955059176388,-0.89600456971368,-0.332255047350029
3.54,-0.13831354297639,-0.181064109305901,-0.89931628473045,-0.32423238109708
3.5475,-0.140686872963768,-0.177149832118265,-0.902546597187071,-0.316179614366631
3.555,-0.142996191728162,-0.173213165729035,-0.905695296348831,-0.308097683676842
3.5625,-0.14524139024822,-0.169255046413816,-0.908762183407235,-0.29998752539795
3.57,-0.147422372792695,-0.165276408420832,-0.911747071424192,-0.291850075591109
3.5775,-0.14953905682562,-0.161278183786177,-0.91464978527404,-0.283686269849098
3.585,-0.151591372909093,-0.157261302151749,-0.917470161583459,-0.275497043138908
3.5925,-0.153579264603742,-0.153226690585904,-0.920208048669331,-0.267283329646248
3.6,-0.155502688366927,-0.149175273406854,-0.922863306474578,-0.259046062621983
3.6075,-0.157361613448753,-0.145107972008811,-0.925435806502052,-0.250786174230532
3.615,-0.159156021785962,-0.141025704690914,-0.927925431746504,-0.242504595400222
3.6225,-0.16088590789377,-0.136929386488945,-0.930332076624708,-0.234202255675661
3.63,-0.162551278755708,-0.132819929009853,-0.932655646903754,-0.225880083072095
3.6375,-0.164152153711552,-0.128698240269098,-0.934896059627606,-0.217539003931806
3.645,-0.165688564343379,-0.124565224530826,-0.937053243041926,-0.209179942782548
3.6525,-0.167160554359844,-0.120421782150892,-0.939127136517253,-0.200803822198028
3.66,-0.168568179478727,-0.116268809422725,-0.941117690470563,-0.192411562660463
3.6675,-0.169911507307816,-0.112107198426065,-0.943024866285269,-0.184004082425211
3.675,-0.171190617224188,-0.107937836878557,-0.94484863622971,-0.175582297387487
3.6825,-0.172405600251968,-0.103761607990224,-0.946588983374164,-0.167147120951183
3.69,-0.173556558938603,-0.0995793903208071,-0.948245901506462,-0.158699463899787
3.6975,-0.174643607229734,-0.0953920576399877,-0.949819395046216,-0.150240234269418
3.705,-0.175666870342726,-0.0912004787904895,-0.951309478957736,-0.141770337223976
3.7125,-0.176626484638902,-0.0870055175540566,-0.952716178661672,-0.133290674932424
3.72,-0.177522597494566,-0.0828080325203069,-0.954039529945427,-0.124802146448187
3.7275,-0.17835536717085,-0.0786088769584654,-0.955279578872391,-0.116305647590693
3.735,-0.179124962682467,-0.0744088986919649,-0.956436381690044,-0.107802070829039
3.7425,-0.179831563665415,-0.0702089399759114,-0.957510004736965,-0.0992923051677932
3.75,-0.180475360243691,-0.0660098373774155,-0.958500524348804,-0.0907772360349412
