"Freq [GHz]","dB(St(FloquetPort1:1,FloquetPort1:1)) []","ang_deg(St(FloquetPort1:1,FloquetPort1:1)) [deg]","dB(St(FloquetPort2:1,FloquetPort1:1)) []","ang_deg(St(FloquetPort2:1,FloquetPort1:1)) [deg]"
4.29,-13.708656001681,114.11118807851,-0.36992483585106,149.610898453367
4.2975,-13.6664933546573,113.113771510187,-0.372002556667296,149.12635945261
4.305,-13.6240264086088,112.123153140498,-0.374112897279246,148.64215619301
4.3125,-13.5812759380837,111.139285964531,-0.376255536219072,148.158288040955
4.32,-13.5382621320356,110.162120316034,-0.378430154037811,147.674754355895
4.3275,-13.4950045955168,109.191604067022,-0.380636433301517,147.191554490472
4.335,-13.4515223525724,108.227682820422,-0.382874058587134,146.708687790635
4.3425,-13.4078338502387,107.270300095622,-0.385142716478322,146.226153595767
4.35,-13.3639569635474,106.319397506862,-0.387442095561052,145.743951238801
4.3575,-13.3199090014463,105.374914934427,-0.38977188641908,145.262080046341
4.365,-13.2757067135461,104.436790688642,-0.392131781629288,144.780539338779
4.3725,-13.2313662976111,103.504961666702,-0.394521475756855,144.299328430414
4.38,-13.1869034077138,102.579363502389,-0.396940665350296,143.818446629565
4.3875,-13.1423331629773,101.659930708777,-0.399389048936382,143.337893238689
4.395,-13.0976701568342,100.74659681401,-0.401866327014896,142.857667554492
4.4025,-13.0529284667358,99.8392944902983,-0.404372202053274,142.377768868047
4.41,-13.0081216642476,98.9379556762668,-0.406906378481124,141.898196464899
4.4175,-12.9632628254721,98.0425116928113,-0.409468562684592,141.418949625182
4.425,-12.9183645417446,97.1528933526372,-0.412058463000649,140.940027623727
4.4325,-12.8734389305502,96.2690310636554,-0.414675789711208,140.461429730168
4.44,-12.8284976466148,95.3908549264232,-0.417320255037168,139.983155209055
4.4475,-12.7835518931259,94.5182948258242,-0.419991573132306,139.505203319957
4.455,-12.738612433043,93.6512805171825,-0.4226894600771,139.02757331757
4.4625,-12.6936896004605,92.7897417070148,-0.425413633872398,138.55026445182
4.47,-12.6487933119887,91.9336081286205,-0.428163814433016,138.073275967969
4.4775,-12.6039330781224,91.0828096127122,-0.43093972358121,137.596607106715
4.485,-12.5591180145684,90.2372761532931,-0.433741085040075,137.120257104295
4.4925,-12.5143568535062,89.3969379689779,-0.436567624426813,136.644225192587
4.5,-12.4696579547602,88.5617255599599,-0.439419069245928,136.168510599207
4.5075,-12.4250293168605,87.7315697608186,-0.442295148882323,135.693112547609
4.515,-12.3804785879763,86.9064017893624,-0.445195594594312,135.218030257184
4.5225,-12.3360130767038,86.0861532916936,-0.448120139506534,134.743262943352
4.53,-12.2916397626948,85.2707563836816,-0.451068518602791,134.268809817663
4.5375,-12.247365307114,84.4601436890251,-0.454040468718806,133.794670087888
4.545,-12.2031960629128,83.6542483740749,-0.457035728534893,133.320842958111
4.5525,-12.1591380849113,82.8530041795902,-0.460054038568554,132.847327628826
4.56,-12.1151971396805,82.0563454495917,-0.46309514116701,132.374123297026
4.5675,-12.0713787152173,81.2642071574683,-0.466158780499635,131.901229156291
4.575,-12.0276880304081,80.4765249294925,-0.469244702550365,131.428644396881
4.5825,-11.9841300442754,79.6932350658914,-0.472352655109977,130.956368205823
4.59,-11.9407094650052,78.9142745596131,-0.475482387768366,130.484399766995
4.5975,-11.8974307587532,78.1395811129262,-0.478633651906722,130.012738261219
4.605,-11.8542981582265,77.3690931519815,-0.481806200689642,129.541382866341
4.6125,-11.8113156710418,76.6027498394608,-0.484999789057224,129.070332757315
4.62,-11.7684870878604,75.8404910854312,-0.488214173717052,128.599587106289
4.6275,-11.7258159902985,75.0822575565204,-0.491449113136174,128.129145082686
4.635,-11.6833057586166,74.3279906835182,-0.49470436753299,127.659005853285
4.6425,-11.640959579187,73.5776326675106,-0.497979698869119,127.189168582301
4.65,-11.5987804517448,72.8311264846425,-0.501274870841209,126.719632431466
4.6575,-11.5567711964213,72.0884158896034,-0.504589648872694,126.250396560104
4.665,-11.5149344605657,71.3494454179242,-0.507923800105513,125.781460125211
4.6725,-11.4732727253566,70.6141603871693,-0.511277093391801,125.312822281529
4.68,-11.4317883122069,69.8825068971043,-0.514649299285513,124.844482181623
4.6875,-11.390483388967,69.1544318289128,-0.518040190034038,124.376438975957
4.695,-11.3493599759282,68.429882843536,-0.521449539569756,123.908691812964
4.7025,-11.3084199516322,67.7088083792009,-0.524877123501579,123.441239839117
4.71,-11.2676650584893,66.9911576482011,-0.528322719106451,122.974082199006
4.7175,-11.2270969082107,66.2768806329909,-0.531786105320817,122.507218035405
4.725,-11.1867169870589,65.5659280816483,-0.535267062732067,122.040646489343
4.7325,-11.1465266609203,64.8582515027607,-0.538765373569962,121.574366700169
4.74,-11.1065271802045,64.1538031597841,-0.542280821698013,121.108377805625
4.7475,-11.0667196845754,63.4525360649214,-0.545813192604863,120.642678941909
4.755,-11.0271052075177,62.7544039725663,-0.54936227339563,120.177269243742
4.7625,-10.9876846807437,62.0593613723517,-0.552927852783248,119.712147844433
4.77,-10.9484589384451,61.367363481845,-0.556509721079763,119.247313875943
4.7775,-10.9094287213938,60.6783662389235,-0.560107670187645,118.782766468948
4.785,-10.8705946808958,59.9923262938666,-0.563721493591069,118.3185047529
4.7925,-10.8319573826038,59.3092010011953,-0.56735098634717,117.854527856091
4.8,-10.7935173101912,58.6289484112905,-0.570995945077318,117.390834905712
4.8075,-10.7552748688928,57.9515272618168,-0.574656167958362,116.927425027912
4.815,-10.7172303889159,57.2768969689775,-0.578331454713873,116.464297347855
4.8225,-10.6793841287259,56.6050176186279,-0.582021606605365,116.001450989783
4.83,-10.6417362782107,55.9358499572657,-0.585726426423537,115.538885077069
4.8375,-10.6042869617273,55.2693553829223,-0.589445718479499,115.076598732273
4.845,-10.5670362410346,54.6054959359746,-0.593179288595987,114.614591077198
4.8525,-10.5299841181171,53.944234289893,-0.596926944098573,114.152861232945
4.86,-10.4931305379011,53.2855337419457,-0.600688493806918,113.691408319967
4.8675,-10.456475390869,52.6293582038727,-0.60446374802597,113.230231458119
4.875,-10.4200185155744,51.9756721925443,-0.608252518537193,112.769329766713
4.8825,-10.3837597010607,51.3244408206184,-0.612054618589799,112.308702364567
4.89,-10.3476986891876,50.675629787208,-0.615869862891994,111.848348370056
4.8975,-10.3118351768687,50.0292053685701,-0.619698067602199,111.388266901163
4.905,-10.2761688182219,49.3851344088272,-0.623539050320314,110.928457075525
4.9125,-10.2406992266371,48.74338431073,-0.627392630078984,110.46891801048
4.92,-10.2054259767641,48.1039230264709,-0.631258627334844,110.009648823121
4.9275,-10.1703486064224,47.4667190485556,-0.63513686395982,109.550648630332
4.935,-10.1354666184364,46.8317414007404,-0.639027163232421,109.091916548845
4.9425,-10.1007794823995,46.1989596290417,-0.642929349829027,108.633451695273
4.95,-10.0662866363676,45.5683437928236,-0.64684324981523,108.175253186164
4.9575,-10.0319874884869,44.9398644559695,-0.650768690637161,107.717320138038
4.965,-9.99788141855634,44.3134926781408,-0.654705501112849,107.259651667434
4.9725,-9.96396777952901,43.6892000061306,-0.658653511423581,106.802246890947
4.98,-9.93024589895278,43.0669584653118,-0.662612553105296,106.345104925273
4.9875,-9.89671508035408,42.4467405511867,-0.666582459040005,105.888224887249
4.995,-9.86337460456591,41.8285192210392,-0.670563063447206,105.43160589389
5.0025,-9.83022373100261,41.2122678856924,-0.674554201875341,104.97524706243
5.01,-9.79726169888317,40.5979604013748,-0.678555711193269,104.519147510362
5.0175,-9.76448772840516,39.9855710616965,-0.682567429581764,104.06330635547
5.025,-9.7319010218709,39.375074589736,-0.68658919652503,103.607722715873
5.0325,-9.699500764768,38.7664461302414,-0.69062085280226,103.152395710056
5.04,-9.66728612680561,38.1596612419446,-0.694662240479185,102.697324456906
5.0475,-9.63525626290838,37.5546958899905,-0.698713202899701,102.24250807575
5.055,-9.6034103141695,36.9515264384822,-0.702773584677469,101.787945686387
5.0625,-9.57174740876452,36.3501296431422,-0.706843231687585,101.333636409119
5.07,-9.54026666282737,35.750482644089,-0.710921991058247,100.879579364792
5.0775,-9.50896718129001,35.1525629587309,-0.715009711162489,100.425773674818
5.085,-9.47784805868718,34.5563484747751,-0.719106241609908,99.9722184612143
5.0925,-9.44690837992746,33.9618174433528,-0.723211433238432,99.5189128466312
5.1,-9.41614722103204,33.3689484722606,-0.727325138106145,99.0658559543831
5.1075,-9.38556364984247,32.7777205193157,-0.731447209483112,98.6130469084785
5.115,-9.35515672669837,32.1881128858256,-0.735577501843241,98.1604848336488
5.1225,-9.32492550508652,31.6001052101721,-0.739715870856217,97.7081688553773
5.13,-9.29486903226229,31.0136774615073,-0.743862173379406,97.2560980999271
5.1375,-9.2649863498445,30.4288099335609,-0.74801626744985,96.8042716943681
