"Freq [GHz]","mag(St(FloquetPort1:1,FloquetPort1:1)) []","mag(St(FloquetPort2:1,FloquetPort1:1)) []"
3.975,0.180710147537948,0.964197722222198
3.9825,0.180820685567615,0.964154393037212
3.99,0.180960937244414,0.964105741474297
3.9975,0.181130578229189,0.964051813535025
4.005,0.181329271303813,0.9639926550764
4.0125,0.181556667004664,0.963928311807805
4.02,0.181812404274559,0.963858829288037
4.0275,0.182096111130023,0.963784252922398
4.035,0.182407405340804,0.963704627959862
4.0425,0.182745895118561,0.963619999490304
4.05,0.183111179811712,0.963530412441808
4.0575,0.183502850603506,0.963435911578032
4.065,0.183920491210482,0.963336541495646
4.0725,0.184363678578591,0.963232346621833
4.08,0.184831983574385,0.963123371211859
4.0875,0.185324971668834,0.963009659346707
4.095,0.185842203611462,0.962891254930774
4.1025,0.186383236092682,0.962768201689635
4.11,0.186947622392368,0.962640543167869
4.1175,0.187534913012883,0.962508322726946
4.125,0.188144656294949,0.962371583543181
4.1325,0.188776399014932,0.962230368605744
4.14,0.18942968696231,0.962084720714735
4.1475,0.190104065496217,0.961934682479318
4.155,0.190799080080181,0.961780296315913
4.1625,0.191514276794322,0.961621604446451
4.17,0.192249202824398,0.96145864889668
4.1775,0.193003406927313,0.961291471494539
4.185,0.193776439872765,0.961120113868578
4.1925,0.194567854860907,0.960944617446445
4.2,0.195377207915988,0.960765023453417
4.2075,0.196204058256062,0.960581372910996
4.215,0.197047968638975,0.960393706635553
4.2225,0.197908505684911,0.960202065237031
4.23,0.19878524017589,0.960006489117691
4.2375,0.199677747332669,0.959807018470924
4.245,0.200585607069587,0.9596036932801
4.2525,0.201508404227924,0.959396553317482
4.26,0.202445728788439,0.959185638143174
4.2675,0.203397176063736,0.958970987104137
4.275,0.204362346871209,0.958752639333233
4.2825,0.205340847687288,0.958530633748336
4.29,0.206332290783763,0.958305009051479
4.2975,0.207336294346967,0.958075803728048
4.305,0.208352482580605,0.957843056046027
4.3125,0.20938048579303,0.957606804055285
4.32,0.210419940469759,0.957367085586906
4.3275,0.211470489332014,0.957123938252566
4.335,0.212531781382082,0.956877399443952
4.3425,0.213603471936246,0.956627506332219
